Borehole_ID,Lithology_Description,Absolute_Depth_m,Sample_ID_Reference,Spacing_Ln_cm,Ratio_r
LE2010-06,Jasperite / Ferruginous Chert,123.24,Assay: 1751796-1751775,3.0,1.3043
LE2010-06,Jasperite / Ferruginous Chert,123.33,Assay: 1751796-1751775,2.3,8.8462
LE2010-06,Jasperite / Ferruginous Chert,123.41,Assay: 1751796-1751775,0.26,0.1088
LE2010-06,Jasperite / Ferruginous Chert,123.5,Assay: 1751796-1751775,2.39,0.93
LE2010-06,Jasperite / Ferruginous Chert,123.59,Assay: 1751796-1751775,2.57,0.2225
LE2010-06,Jasperite / Ferruginous Chert,123.68,Assay: 1751796-1751775,11.55,5.5529
LE2010-06,Jasperite / Ferruginous Chert,123.77,Assay: 1751796-1751775,2.08,0.6688
LE2010-06,Jasperite / Ferruginous Chert,123.85,Assay: 1751796-1751775,3.11,0.5604
LE2010-06,Jasperite / Ferruginous Chert,123.94,Assay: 1751796-1751775,5.55,1.2907
LE2010-06,Jasperite / Ferruginous Chert,124.03,Assay: 1751796-1751775,4.3,0.6605
LE2010-06,Jasperite / Ferruginous Chert,124.12,Assay: 1751796-1751775,6.51,11.4211
LE2010-06,Jasperite / Ferruginous Chert,124.21,Assay: 1751796-1751775,0.57,0.6064
LE2010-06,Jasperite / Ferruginous Chert,124.3,Assay: 1751796-1751775,0.94,0.6395
LE2010-06,Jasperite / Ferruginous Chert,124.38,Assay: 1751796-1751775,1.47,3.1957
LE2010-06,Jasperite / Ferruginous Chert,124.47,Assay: 1751796-1751775,0.46,0.1776
LE2010-06,Jasperite / Ferruginous Chert,124.56,Assay: 1751796-1751775,2.59,2.5392
LE2010-06,Jasperite / Ferruginous Chert,124.65,Assay: 1751796-1751775,1.02,0.1437
LE2010-06,Jasperite / Ferruginous Chert,124.74,Assay: 1751796-1751775,7.1,6.0169
LE2010-06,Jasperite / Ferruginous Chert,124.82,Assay: 1751796-1751775,1.18,0.6378
LE2010-06,Jasperite / Ferruginous Chert,124.91,Assay: 1751796-1751775,1.85,0.4129
LE2010-06,Jasperite / Ferruginous Chert,125.0,Assay: 1751796-1751775,4.48,
